id,in_degree,out_degree,name,type,degree,strength
EFF_01279,20,0,疏肝解郁,EFF,20,79
HER_02235,1,2,龙眼肉,HER,3,7
HER_02036,2,4,何首乌,HER,6,15
HER_02069,2,3,五灵脂,HER,5,13
HER_02139,1,2,薤白,HER,3,6
HER_02003,6,10,蒲黄,HER,16,40
HER_02205,0,2,檀香,HER,2,4
SYM_03692,9,0,胸痛,SYM,9,20
EFF_01259,68,0,滋阴,EFF,68,254
HER_01970,2,12,枣仁,HER,14,36
HER_02121,1,2,黄精,HER,3,8
EFF_01335,11,0,活血祛瘀,EFF,11,30
PRE_02483,0,44,四物汤,PRE,44,207
HER_02010,4,2,桃红,HER,6,26
HER_01920,9,20,瓜蒌,HER,29,85
PRE_02656,0,3,定志丸,PRE,3,6
PRE_02502,0,15,温胆汤,PRE,15,41
HER_02117,5,0,辰砂,HER,5,12
PRE_02550,0,12,导痰汤,PRE,12,28
EFF_01256,85,0,补肾,EFF,85,368
HER_01984,6,4,熟地,HER,10,24
HER_02029,3,3,茯神,HER,6,13
PRE_02563,0,10,独参汤,PRE,10,20
HER_01902,21,25,车前子,HER,46,143
EFF_01322,12,0,温阳散寒,EFF,12,26
EFF_01265,54,0,养阴,EFF,54,158
HER_01925,13,21,枸杞子,HER,34,106
HER_02138,0,2,葶苈子包,HER,2,4
HER_01944,6,10,龙骨,HER,16,36
EFF_01314,9,0,回阳救逆,EFF,9,22
HER_02124,0,1,四逆,HER,1,2
PRE_02553,0,3,甘麦大枣汤,PRE,3,6
HER_01909,10,11,葛根,HER,21,67
HER_01918,6,18,砂仁,HER,24,90
HER_01968,4,12,青皮,HER,16,40
PRE_02486,0,15,理中汤,PRE,15,35
HER_01935,1,6,乌梅,HER,7,16
PRE_02663,0,8,橘皮,PRE,8,19
PRE_02480,0,135,苍术,PRE,135,747
HER_02050,1,0,白茯苓,HER,1,3
HER_01889,16,30,黄柏,HER,46,174
PRE_02694,0,3,仲景四逆散,PRE,3,6
HER_02168,1,0,枯芩,HER,1,2
HER_01941,5,9,荆芥,HER,14,41
HER_02220,1,0,老连,HER,1,2
EFF_01304,5,0,益气活血,EFF,5,11
PRE_02577,0,7,泻肺汤,PRE,7,18
HER_02196,1,0,合葶苈,HER,1,3
EFF_01321,15,0,温阳利水,EFF,15,39
EFF_01393,2,0,参附龙牡汤,EFF,2,4
HER_01967,3,13,益母草,HER,16,43
HER_02114,0,2,葶苈子,HER,2,4
HER_02079,1,3,代赭石,HER,4,8
PRE_02617,0,5,左金丸,PRE,5,10
EFF_01269,43,0,和胃降逆,EFF,43,134
PRE_02574,0,9,平胃散,PRE,9,19
HER_01917,11,2,山栀,HER,13,41
HER_02222,1,0,芩芍,HER,1,2
HER_02039,1,3,旋覆花,HER,4,8
SYM_03583,29,0,舌苔厚腻,SYM,29,69
SYM_04312,12,0,消食导滞,SYM,12,27
HER_01950,4,10,吴茱萸,HER,14,32
CAU_00308,0,1,肝气郁滞,CAU,1,2
HER_02233,0,2,香橼,HER,2,4
EFF_01336,20,0,润肠通便,EFF,20,43
HER_02009,2,15,川楝子,HER,17,41
EFF_01272,37,0,解郁,EFF,37,110
HER_01899,13,29,苡仁,HER,42,164
HER_01979,3,13,豆蔻,HER,16,50
HER_01934,12,11,槟榔,HER,23,59
HER_01914,13,21,贝母,HER,34,107
PRE_02704,0,8,四逆散,PRE,8,18
HER_01905,11,35,香附,HER,46,156
PRE_02634,0,10,越鞠丸,PRE,10,21
SYM_04641,6,0,大便溏泄,SYM,6,12
EFF_01293,12,0,顺气,EFF,12,25
EFF_01416,1,0,清肝泄火,EFF,1,2
CAU_00339,0,1,胸闷心烦,CAU,1,2
EFF_01349,7,0,降逆止呕,EFF,7,14
HER_02110,1,2,淡豆豉,HER,3,9
EFF_01325,7,0,生津止渴,EFF,7,15
EFF_01445,1,0,行气消胀,EFF,1,2
HER_02012,2,9,芒硝,HER,11,31
SYM_05087,6,0,腹胀便秘,SYM,6,12
PRE_02899,0,1,旋覆代赭汤,PRE,1,2
EFF_01260,42,0,补气,EFF,42,189
EFF_01355,4,0,化湿止泻,EFF,4,9
PRE_02538,0,22,保和丸,PRE,22,65
PRE_02522,0,16,藿香正气散,PRE,16,55
HER_01960,10,20,广藿香,HER,30,96
HER_01923,7,3,白芷,HER,10,27
EFF_01345,13,0,疏风散寒,EFF,13,35
PRE_02517,0,42,银翘散,PRE,42,140
HER_01953,5,18,芦根,HER,23,57
HER_01890,11,22,薄荷,HER,33,105
HER_01929,8,4,竹叶,HER,12,35
EFF_01320,9,0,消食化滞,EFF,9,27
PRE_02507,0,15,香薷饮,PRE,15,50
HER_02014,2,3,荷叶,HER,5,11
HER_01981,2,4,香薷,HER,6,17
EFF_01338,10,0,清暑化湿,EFF,10,26
CAU_00228,0,1,腑气不通,CAU,1,2
SYM_04372,17,0,胁肋刺痛,SYM,17,36
HER_01972,3,5,苏叶,HER,8,29
HER_02037,2,8,佩兰,HER,10,26
PRE_02549,0,7,三仁汤,PRE,7,17
HER_02131,1,0,白蔻仁,HER,1,2
HER_01906,7,27,滑石,HER,34,100
HER_01947,5,6,藿香,HER,11,24
PRE_02485,0,38,逍遥散,PRE,38,146
PRE_02982,0,1,红豆丸,PRE,1,2
PRE_02595,0,4,玉枢丹,PRE,4,9
PRE_02587,0,6,右归丸,PRE,6,13
HER_01983,6,14,杜仲,HER,20,45
PRE_02494,0,9,十全大补汤,PRE,9,19
EFF_01297,4,0,回阳,EFF,4,11
EFF_01282,22,0,温补脾肾,EFF,22,80
HER_02142,1,2,鹿角,HER,3,6
PRE_02541,0,13,承气汤,PRE,13,32
HER_01896,26,39,玄参,HER,65,208
HER_02175,0,3,白花蛇舌草,HER,3,7
HER_01943,5,3,芍药,HER,8,19
PRE_02576,0,1,来复丹,PRE,1,2
PRE_02559,0,2,大承气汤,PRE,2,4
SYM_03652,8,0,大便不爽,SYM,8,18
PRE_02573,0,1,小建中汤,PRE,1,2
EFF_01403,2,0,暖肝散寒,EFF,2,4
HER_02125,0,1,小茴香,HER,1,2
HER_02032,3,1,乌药,HER,4,9
HER_02073,4,4,姜黄,HER,8,18
PRE_02733,0,3,清中汤,PRE,3,6
HER_02202,2,0,栀苍,HER,2,4
HER_02229,2,0,连芍,HER,2,4
PRE_02999,0,4,葛根芩连汤,PRE,4,8
HER_01959,3,8,通草,HER,11,30
HER_02027,3,8,白扁豆,HER,11,40
HER_02030,3,9,莲子,HER,12,33
EFF_01317,6,0,抑肝扶脾,EFF,6,15
HER_01996,3,4,木瓜,HER,7,17
SYM_04897,4,0,瘀血阻滞,SYM,4,8
HER_02023,1,5,大腹皮,HER,6,14
PRE_02529,0,16,胃苓汤,PRE,16,39
PRE_02524,0,11,附子理中汤,PRE,11,29
PRE_02571,0,9,四神丸,PRE,9,30
PRE_02488,0,30,八珍汤,PRE,30,126
PRE_03020,0,2,连理汤,PRE,2,4
PRE_02712,0,2,天水散,PRE,2,4
HER_01958,4,14,牛蒡子,HER,18,59
HER_02007,3,1,扁豆,HER,4,9
HER_02301,1,0,香茹,HER,1,2
HER_01998,3,5,炮姜,HER,8,18
PRE_02774,0,5,金正气散,PRE,5,12
SYM_03635,40,0,腹胀满,SYM,40,103
EFF_01263,35,0,开窍,EFF,35,108
PRE_02779,0,8,附子理中丸,PRE,8,19
SYM_03492,29,0,尿少,SYM,29,71
PRE_02673,0,6,白头翁汤,PRE,6,14
HER_02130,1,1,白头翁,HER,2,5
HER_02176,1,0,秦皮,HER,1,2
PRE_02666,0,21,清开灵注射液,PRE,21,54
PRE_02980,0,2,紫雪散,PRE,2,4
EFF_01261,44,0,止血,EFF,44,157
PRE_02637,0,3,黑神散,PRE,3,6
PRE_02717,0,2,小乌沉汤,PRE,2,4
HER_02093,3,6,忍冬藤,HER,9,23
HER_01964,9,12,紫草,HER,21,68
HER_01926,9,15,菊花,HER,24,80
HER_01885,28,55,牡丹皮,HER,83,289
HER_01992,11,12,水牛角,HER,23,68
HER_01892,22,29,地黄,HER,51,146
SYM_04343,16,0,皮肤紫斑多,SYM,16,40
SYM_03825,29,0,关节肿痛,SYM,29,68
EFF_01352,14,0,凉血化斑,EFF,14,30
HER_01961,7,11,淡竹叶,HER,18,47
EFF_01310,17,0,凉血活血,EFF,17,41
EFF_01353,12,0,凉血活瘀,EFF,12,27
PRE_02511,0,27,知柏地黄丸,PRE,27,89
HER_02056,4,10,旱莲草,HER,14,32
EFF_01274,24,0,滋阴降火,EFF,24,93
PRE_02613,0,21,四妙丸,PRE,21,57
HER_02088,3,3,马鞭草,HER,6,12
HER_02021,3,7,鸡血藤,HER,10,27
PRE_02545,0,17,知柏地黄汤,PRE,17,40
HER_01955,4,8,仙鹤草,HER,12,28
PRE_02508,0,30,安宫牛黄丸,PRE,30,85
HER_02135,4,4,羚羊角粉,HER,8,23
PRE_02510,0,28,紫雪丹,PRE,28,71
PRE_02554,0,16,至宝丹,PRE,16,42
EFF_01331,14,0,利水消肿,EFF,14,32
HER_02116,0,2,车前草,HER,2,4
EFF_01387,3,0,凉血息风,EFF,3,6
EFF_01340,3,0,清营凉血,EFF,3,6
HER_02075,1,13,茜草,HER,14,29
HER_02097,1,6,瞿麦,HER,7,18
PRE_02579,0,1,茵陈五苓散,PRE,1,2
EFF_01459,12,0,醒脾健胃,EFF,12,24
SYM_04497,12,0,化湿理气胁肋疼痛,SYM,12,24
SYM_05088,12,0,腹胀脘痞,SYM,12,24
PRE_02632,0,7,茵陈汤,PRE,7,14
EFF_01342,14,0,理气止痛,EFF,14,37
HER_02044,4,7,延胡索,HER,11,28
PRE_02763,0,9,茵陈术附汤,PRE,9,18
EFF_01421,9,0,温化寒湿,EFF,9,18
EFF_01270,25,0,疏肝理气,EFF,25,78
SYM_03738,13,0,泛恶,SYM,13,32
HER_02024,4,9,姜半夏,HER,13,35
HER_01969,3,11,青蒿,HER,14,34
PRE_02888,0,1,小陷胸汤,PRE,1,2
EFF_01341,16,0,清虚热,EFF,16,35
EFF_01275,22,0,祛湿,EFF,22,58
HER_02055,2,6,地肤子,HER,8,21
SYM_03582,30,0,皮肤瘙痒,SYM,30,76
HER_02035,3,8,白鲜皮,HER,11,30
PRE_02741,0,1,滋水清肝饮,PRE,1,2
HER_02159,0,1,白蒺藜,HER,1,2
EFF_01283,20,0,滋补肝肾,EFF,20,55
EFF_01278,22,0,安神,EFF,22,51
HER_02263,0,4,桑椹,HER,4,8
EFF_01305,12,0,祛风止痒,EFF,12,29
HER_02059,0,12,火麻仁,HER,12,28
HER_01982,4,18,女贞子,HER,22,62
HER_02184,0,1,虎杖,HER,1,2
SYM_04039,7,0,齿鼻衄血,SYM,7,14
PRE_02626,0,7,生脉饮,PRE,7,16
EFF_01327,2,0,行气活血,EFF,2,4
HER_02046,2,0,橘红,HER,2,4
EFF_01348,22,0,软坚散结,EFF,22,55
EFF_01392,4,0,化瘀祛痰,EFF,4,8
SYM_04324,8,0,畏寒肢冷,SYM,8,19
HER_02102,1,1,丁香,HER,2,4
PRE_02636,0,4,麻黄连翘赤小豆汤,PRE,4,8
HER_02066,3,2,赤小豆,HER,5,12
HER_01976,4,2,茵陈,HER,6,19
HER_01973,4,9,莪术,HER,13,30
SYM_03577,16,0,鼻衄,SYM,16,33
SYM_04436,7,0,食滞,SYM,7,14
EFF_01324,19,0,理气化痰,EFF,19,47
PRE_02796,0,11,中满分消丸,PRE,11,22
PRE_02562,0,19,济生肾气丸,PRE,19,75
PRE_02489,0,37,六味地黄丸,PRE,37,139
HER_02065,1,7,藕节,HER,8,20
SYM_03545,7,0,小便短少,SYM,7,18
CAU_00024,0,7,阳虚,CAU,7,16
HER_02078,1,5,仙灵,HER,6,14
HER_02147,0,2,仙茅,HER,2,5
HER_02061,4,3,穿山甲,HER,7,16
HER_01936,5,3,虫,HER,8,18
EFF_01307,15,0,行气利水,EFF,15,33
EFF_01424,7,0,温阳化气,EFF,7,14
PRE_02602,0,12,补阳还五汤,PRE,12,42
PRE_02565,0,8,通窍活血汤,PRE,8,25
HER_02017,0,4,全蝎,HER,4,8
HER_02227,0,2,蜂房,HER,2,5
PRE_02572,0,15,天麻钩藤饮,PRE,15,42
HER_01924,10,17,钩藤,HER,27,72
HER_01888,12,25,牛膝,HER,37,115
HER_01994,1,5,天麻,HER,6,15
EFF_01323,3,0,滋养肝肾,EFF,3,6
HER_01945,10,17,夏枯草,HER,27,64
HER_02015,1,5,龙胆草,HER,6,16
EFF_01406,5,0,气血双补,EFF,5,10
EFF_01326,13,0,祛风散寒,EFF,13,30
HER_01908,5,5,羌活,HER,10,38
CAU_00296,0,1,热盛伤阴,CAU,1,2
HER_02004,7,1,蔓荆子,HER,8,18
HER_02082,1,1,独活,HER,2,5
EFF_01292,17,0,燥湿化痰,EFF,17,47
EFF_01426,2,0,熄风止痛,EFF,2,4
EFF_01316,8,0,平肝潜阳,EFF,8,18
EFF_01347,7,0,育阴潜阳,EFF,7,15
PRE_02519,0,11,白虎汤,PRE,11,31
PRE_02490,0,38,六味汤,PRE,38,152
PRE_02696,0,2,八味汤,PRE,2,4
PRE_02922,0,3,泻青丸,PRE,3,6
PRE_02639,0,1,三生饮,PRE,1,2
PRE_02515,0,3,小续命汤,PRE,3,8
PRE_02520,0,8,续命汤,PRE,8,26
CAU_00021,0,69,脉弱,CAU,69,269
SYM_03497,17,0,面色少华,SYM,17,55
PRE_02745,0,4,犀黄丸,PRE,4,8
PRE_02665,0,8,海藻玉壶汤,PRE,8,16
HER_02150,1,1,山慈菇,HER,2,4
EFF_01365,15,0,清泻肝火,EFF,15,32
EFF_01301,26,0,消瘿散结,EFF,26,61
EFF_01328,5,0,解毒消肿,EFF,5,11
HER_02127,1,5,海藻,HER,6,13
HER_02270,0,5,海带,HER,5,10
HER_02094,3,7,昆布,HER,10,21
PRE_02856,0,6,四海舒郁丸,PRE,6,12
HER_02081,1,1,海螵蛸,HER,2,5
EFF_01311,25,0,利咽消肿,EFF,25,74
SYM_03536,6,0,胁痛,SYM,6,15
PRE_02690,0,4,二冬汤,PRE,4,8
PRE_02732,0,5,消瘰丸,PRE,5,11
EFF_01299,16,0,平肝息风,EFF,16,36
EFF_01273,18,0,化痰散结,EFF,18,51
HER_02038,2,3,山萸肉,HER,5,10
EFF_01303,13,0,益气养血,EFF,13,32
HER_02018,2,5,白虎,HER,7,18
HER_02200,0,2,常山,HER,2,4
EFF_01453,4,0,解毒除瘴,EFF,4,8
HER_02197,0,1,土鳖,HER,1,2
HER_01988,3,3,草果,HER,6,14
EFF_01372,9,0,芳化湿浊,EFF,9,21
SYM_05105,8,0,舌白腻,SYM,8,16
HER_01985,3,1,牛黄,HER,4,9
PRE_02501,0,9,小柴胡汤,PRE,9,26
HER_02195,1,0,参草,HER,1,2
SYM_03557,34,0,汗多,SYM,34,88
HER_01962,5,1,犀角,HER,6,21
HER_02063,2,1,芩连,HER,3,6
EFF_01276,20,0,温肾,EFF,20,52
HER_02119,0,1,鹿茸,HER,1,2
PRE_02586,0,4,五皮饮,PRE,4,9
EFF_01308,21,0,通腑泻热,EFF,21,53
PRE_02680,0,3,防己黄芪汤,PRE,3,6
HER_01974,1,3,防己,HER,4,9
HER_02011,2,8,续断,HER,10,23
HER_02192,0,2,六月雪,HER,2,4
HER_01938,6,13,菟丝子,HER,19,59
HER_02025,1,5,巴戟,HER,6,17
PRE_02544,0,43,玄明粉,PRE,43,134
PRE_02498,0,35,五味消毒饮,PRE,35,126
HER_01999,4,2,紫花地丁,HER,6,27
HER_02051,0,3,苦参,HER,3,9
EFF_01373,15,0,解毒化湿,EFF,15,33
HER_02058,2,2,泽兰,HER,4,9
HER_02045,3,8,板蓝根,HER,11,25
HER_02022,3,4,前胡,HER,7,17
EFF_01452,1,0,解毒利咽,EFF,1,2
SYM_04228,7,0,咽喉红肿疼痛,SYM,7,14
PRE_02616,0,9,左归丸,PRE,9,20
PRE_02646,0,4,六味地黄汤,PRE,4,8
PRE_02503,0,36,地黄汤,PRE,36,109
EFF_01287,8,0,益肾,EFF,8,18
HER_02242,0,1,凤尾草,HER,1,2
SYM_04090,6,0,少腹坠胀,SYM,6,12
HER_02087,2,3,覆盆子,HER,5,12
PRE_02531,0,10,导赤散,PRE,10,22
PRE_02718,0,3,小蓟饮,PRE,3,6
HER_02033,2,9,小蓟,HER,11,29
HER_02172,0,1,琥珀粉,HER,1,2
PRE_02556,0,15,二至丸,PRE,15,44
PRE_02539,0,11,八正散,PRE,11,28
EFF_01302,9,0,清利湿热,EFF,9,19
HER_02084,0,2,石韦,HER,2,5
HER_02128,1,1,海金沙,HER,2,5
HER_02161,0,3,金钱草,HER,3,6
HER_02122,0,1,冬葵子,HER,1,2
EFF_01318,6,0,活血止痛,EFF,6,15
HER_01957,10,2,沉香,HER,12,28
SYM_03470,15,0,小便不利,SYM,15,35
PRE_02593,0,1,海金沙散,PRE,1,3
PRE_02645,0,3,八物汤,PRE,3,6
PRE_02487,0,22,龙胆泻肝汤,PRE,22,80
EFF_01312,7,0,化气行水,EFF,7,14
CAU_00008,0,69,脉浮,CAU,69,338
HER_02008,5,4,参芪,HER,9,23
HER_01993,2,3,银花,HER,5,14
HER_02112,1,2,紫河,HER,3,6
PRE_02652,0,8,参附汤,PRE,8,17
CAU_00097,0,1,神昏谵语,CAU,1,2
HER_02109,0,6,槐花,HER,6,16
HER_02191,1,0,云苓,HER,1,2
PRE_02521,0,11,肾气丸,PRE,11,25
PRE_02581,0,1,香砂六君子汤,PRE,1,2
HER_02062,3,7,芡实,HER,10,22
EFF_01436,10,0,祛瘀化湿,EFF,10,20
PRE_02499,0,33,参苓白术散,PRE,33,111
HER_02080,0,1,元胡,HER,1,2
CAU_00258,0,1,心悸失眠,CAU,1,2
PRE_02802,0,4,五子衍宗丸,PRE,4,8
EFF_01296,5,0,化瘀通络,EFF,5,10
PRE_02709,0,4,大柴胡汤,PRE,4,8
PRE_02605,0,9,麦门冬,PRE,9,19
PRE_02496,0,3,八味丸,PRE,3,7
EFF_01281,14,0,清肝泻火,EFF,14,46
HER_02140,0,2,蜈蚣,HER,2,4
EFF_01358,3,0,散寒通络,EFF,3,6
EFF_01306,7,0,祛风除湿,EFF,7,19
PRE_02947,0,1,独活寄生汤,PRE,1,2
SYM_04491,6,0,关节肿,SYM,6,12
PRE_02785,0,5,麻杏石甘汤,PRE,5,10
HER_02173,0,1,瓜蒌皮,HER,1,4
HER_02040,3,3,清营,HER,6,14
HER_01956,3,1,元参,HER,4,14
HER_01949,3,2,菖蒲,HER,5,16
PRE_02514,0,8,凉膈散,PRE,8,23
PRE_02543,0,15,清营汤,PRE,15,42
HER_02001,2,0,羚羊角,HER,2,4
PRE_02601,0,19,羚角钩藤汤,PRE,19,47
HER_02179,1,1,粳米,HER,2,4
HER_02086,1,1,西洋参,HER,2,5
HER_02186,0,1,西瓜翠衣,HER,1,2
HER_02071,3,5,大青叶,HER,8,21
HER_02152,0,1,川贝粉,HER,1,2
PRE_02771,0,6,达原饮,PRE,6,14
PRE_02715,0,1,宣清导浊汤,PRE,1,2
HER_02053,0,3,佛手,HER,3,7
PRE_02668,0,2,清脾饮,PRE,2,4
PRE_02518,0,17,六一散,PRE,17,36
EFF_01425,1,0,滋养肾阴,EFF,1,2
EFF_01329,10,0,豁痰开窍,EFF,10,22
HER_02005,4,9,蝉蜕,HER,13,31
PRE_02506,0,1,荆防败毒散,PRE,1,2
PRE_02661,0,10,柴胡清肝汤,PRE,10,20
HER_01966,8,7,皂角,HER,15,39
EFF_01334,4,0,活血散瘀,EFF,4,8
PRE_02540,0,2,托里消毒散,PRE,2,4
PRE_02552,0,8,活命饮,PRE,8,16
PRE_02497,0,25,黄连解毒汤,PRE,25,93
EFF_01389,2,0,凉血解毒,EFF,2,4
HER_02137,2,2,葵子,HER,4,12
EFF_01319,2,0,消肿止痛,EFF,2,4
PRE_02547,0,8,萆渗湿汤,PRE,8,18
